Trial,Rule,Result,Probability,PC1,PC2,PC3,Site,Excluded
44,23,Reef,0.702,'0.637 < x <= 0.683,'<= 0.109,"","A, B, C, D, F, G, H, I","E, J, K, L"
44,24,Reef,0.701,"","",'<= -0.092,D,"A, B, C, E, F, G, H, I, J, K, L"
44,25,Reef,0.6779999999999999,'<= 0.574,'-2.286 < x <= 0.109,'<= 0.12,"B, C, F, G, H, I","A, D, E, J, K, L"
44,26,Reef,0.6729999999999999,'<= -0.744,"","",I,"A, B, C, D, E, F, G, H, J, K, L"
44,27,Reef,0.642,'<= -0.744,"","",L,"A, B, C, D, E, F, G, H, I, J, K"
44,28,Reef,0.598,'0.754 < x <= 1.501,'> 0.269,"","E, F, G, H, I, K, L","A, B, C, D, J"
44,29,Reef,0.597,'> 0.754,"",'<= 0.145,"F, L","A, B, C, D, E, G, H, I, J, K"
44,30,Reef,0.5760000000000001,'-0.744 < x <= 0.683,"","",E,"A, B, C, D, F, G, H, I, J, K, L"
44,31,Reef,0.5720000000000001,'<= 2.625,"",'<= 0.027,A,"B, C, D, E, F, G, H, I, J, K, L"
44,32,Reef,0.5660000000000001,'1.162 < x <= 2.109,'<= -0.938,"","A, B, C, D, E, F, G, I, J, K, L",H
44,33,Reef,0.5640000000000001,'<= 0.683,'> 0.277,"","B, C, E, F, G, H, I, J, K, L","A, D"
45,1,Sand,0.7809999999999999,'> -1.219,'<= 0.356,"",B,"A, C, D, E, F, G, H, I, J, K, L"
45,2,Sand,0.692,'-0.334 < x <= -0.097,'-1.301 < x <= 0.18,'-0.007 < x <= 0.102,"A, B, C, D, E, F, H, I, K, L","G, J"
45,3,Sand,0.639,'-1.219 < x <= 0.156,'-1.301 < x <= 0.18,'0.126 < x <= 0.176,"B, C, D, E, F, G, H, I, K, L","A, J"
45,4,Sand,0.632,'-0.077 < x <= 0.156,'-1.301 < x <= 0.18,'-0.007 < x <= 0.176,"B, C, D, E, F, G, H, I, K, L","A, J"
45,5,Sand,0.538,'> -1.219,"","",Any,None
45,6,Reef,0.985,'<= 0.156,"",'<= -0.26,Any,None
